Connecting to unreal.db...
Starting backfill with workers=1 (single-process to avoid OOM)...
  backfill starting: 84,696 files, workers=1, provider=unreal
    references: 17000/81903 (21%) 24,127,137 refs, 321 files/s ETA 202s
    references: 18000/81903 (22%) 25,081,931 refs, 325 files/s ETA 197s
    references: 19000/81903 (23%) 26,206,546 refs, 328 files/s ETA 192s
    references: 20000/81903 (24%) 28,030,629 refs, 321 files/s ETA 193s
    references: 21000/81903 (26%) 29,039,484 refs, 324 files/s ETA 188s
    references: 22000/81903 (27%) 29,813,436 refs, 330 files/s ETA 182s
    references: 23000/81903 (28%) 31,313,779 refs, 326 files/s ETA 180s
    references: 24000/81903 (29%) 32,693,030 refs, 322 files/s ETA 180s
    references: 25000/81903 (31%) 34,279,554 refs, 317 files/s ETA 180s
    references: 26000/81903 (32%) 35,454,726 refs, 316 files/s ETA 177s
    references: 27000/81903 (33%) 36,620,275 refs, 315 files/s ETA 174s
    references: 28000/81903 (34%) 38,256,677 refs, 310 files/s ETA 174s
    references: 29000/81903 (35%) 39,491,180 refs, 308 files/s ETA 172s
    references: 30000/81903 (37%) 40,669,158 refs, 307 files/s ETA 169s
    references: 31000/81903 (38%) 41,345,260 refs, 311 files/s ETA 164s
    references: 32000/81903 (39%) 42,419,869 refs, 312 files/s ETA 160s
    references: 33000/81903 (40%) 43,724,061 refs, 310 files/s ETA 158s
